macrozona_origen,bucket,macrozona_destino,P,rank,keep,entropy
0,0,0,0.6197117067931089,1,1,0.9184118486679741
0,0,1,0.21385207911743587,2,1,0.9184118486679741
0,0,2,0.15857313259232445,3,1,0.9184118486679741
1,0,1,0.5194835296684118,1,1,0.8583808558332482
1,0,0,0.41590314136125656,2,1,0.8583808558332482
1,0,2,0.05176974258289703,3,1,0.8583808558332482
2,0,0,0.5632400110877915,1,1,0.919597127025975
2,0,2,0.33207935690809015,2,1,0.919597127025975
2,0,1,0.0999485209678058,3,1,0.919597127025975
3,0,1,0.41169305724725946,1,1,1.2252431358983287
3,0,0,0.292326431181486,2,1,1.2252431358983287
3,0,3,0.24238733252131547,3,1,1.2252431358983287
3,0,2,0.0535931790499391,4,1,1.2252431358983287
