macrozona_origen,macrozona_destino,n_viajes,pct_total,pct_acum,en_top80_macro
0,0,104427,0.3561873251927144,0.3561873251927144,True
1,1,38101,0.12995770516406302,0.4861450303567774,True
0,1,36036,0.12291425063101166,0.609059280987789,True
1,0,30504,0.10404529640493894,0.713104577392728,True
2,0,28447,0.09702912886281466,0.8101337062555427,False
0,2,26721,0.09114196057029811,0.9012756668258408,False
2,2,16772,0.05720717647861382,0.9584828433044547,False
2,1,5048,0.01721809127498465,0.9757009345794393,False
1,2,3797,0.012951088068763217,0.9886520226482025,False
0,3,1325,0.004519407872296883,0.9931714305204994,False
1,3,942,0.003213043181663142,0.9963844737021625,False
3,1,338,0.0011528753666689407,0.9975373490688315,False
3,0,240,0.0008186097278122655,0.9983559587966437,False
2,3,239,0.0008151988539463811,0.9991711576505902,False
3,3,199,0.0006787638993110035,0.9998499215499012,False
3,2,44,0.00015007845009891536,1.0,False
