origen_id,origen_zona,destino_id,destino_zona,distancia_geodesica_km,distancia_manhattan_aprox_km,distancia_manhattan_exacta_km,duracion_normal_min,duracion_hora_punta_min,duracion_hora_valle_min
4,Alphabet City,4,Alphabet City,0.0,0.0,0.0,0.0,0.0,0.0
4,Alphabet City,12,Battery Park,3.997,5.59,5.581,13.4,16.7,11.2
4,Alphabet City,13,Battery Park City,3.551,4.625,4.627,11.1,13.9,9.3
4,Alphabet City,24,Bloomingdale,8.74,9.659,9.562,22.9,28.7,19.1
4,Alphabet City,41,Central Harlem,9.207,11.127,11.032,26.5,33.1,22.1
4,Alphabet City,42,Central Harlem North,10.931,13.567,13.457,32.3,40.4,26.9
4,Alphabet City,43,Central Park,6.592,7.489,7.417,17.8,22.3,14.8
4,Alphabet City,45,Chinatown,2.185,3.054,3.049,7.3,9.1,6.1
4,Alphabet City,48,Clinton East,4.412,5.368,5.398,13.0,16.2,10.8
4,Alphabet City,50,Clinton West,4.961,6.26,6.287,15.1,18.9,12.6
4,Alphabet City,68,East Chelsea,3.357,4.69,4.686,11.2,14.1,9.4
4,Alphabet City,74,East Harlem North,9.225,11.961,11.876,28.5,35.6,23.8
4,Alphabet City,75,East Harlem South,7.816,10.008,9.935,23.8,29.8,19.9
4,Alphabet City,79,East Village,0.871,1.192,1.183,2.8,3.5,2.4
4,Alphabet City,87,Financial District North,3.193,4.476,4.467,10.7,13.4,8.9
4,Alphabet City,88,Financial District South,3.695,5.2,5.189,12.5,15.6,10.4
4,Alphabet City,90,Flatiron,2.662,3.757,3.75,9.0,11.2,7.5
4,Alphabet City,100,Garment District,3.452,4.308,4.328,10.4,13.0,8.7
4,Alphabet City,103,Governor's Island/Ellis Island/Liberty Island,6.892,9.569,9.556,22.9,28.7,19.1
4,Alphabet City,107,Gramercy,1.57,2.053,2.059,4.9,6.2,4.1
4,Alphabet City,113,Greenwich Village North,1.762,2.453,2.438,5.9,7.3,4.9
4,Alphabet City,114,Greenwich Village South,1.798,2.244,2.219,5.3,6.7,4.4
4,Alphabet City,116,Hamilton Heights,11.716,13.88,13.756,33.0,41.3,27.5
4,Alphabet City,120,Highbridge Park,14.21,17.62,17.476,41.9,52.4,35.0
4,Alphabet City,125,Hudson Sq,2.594,2.876,2.833,6.8,8.5,5.7
4,Alphabet City,127,Inwood,16.537,20.699,20.532,49.3,61.6,41.1
4,Alphabet City,128,Inwood Hill Park,17.091,20.968,20.792,49.9,62.4,41.6
4,Alphabet City,137,Kips Bay,1.853,1.892,1.871,4.5,5.6,3.7
4,Alphabet City,140,Lenox Hill East,5.0,6.522,6.477,15.5,19.4,13.0
4,Alphabet City,141,Lenox Hill West,5.015,6.268,6.219,14.9,18.7,12.4
4,Alphabet City,142,Lincoln Square East,5.553,5.925,5.982,14.4,17.9,12.0
4,Alphabet City,143,Lincoln Square West,5.868,6.703,6.754,16.2,20.3,13.5
4,Alphabet City,144,Little Italy/NoLiTa,1.715,2.014,2.019,4.8,6.1,4.0
4,Alphabet City,148,Lower East Side,1.292,1.718,1.718,4.1,5.2,3.4
4,Alphabet City,151,Manhattan Valley,8.274,8.985,8.893,21.3,26.7,17.8
4,Alphabet City,152,Manhattanville,10.645,12.43,12.316,29.6,36.9,24.6
4,Alphabet City,153,Marble Hill,17.813,22.556,22.379,53.7,67.1,44.8
4,Alphabet City,158,Meatpacking/West Village West,2.981,3.974,3.939,9.5,11.8,7.9
4,Alphabet City,161,Midtown Center,3.807,3.867,3.91,9.4,11.7,7.8
4,Alphabet City,162,Midtown East,3.678,4.048,4.007,9.6,12.0,8.0
4,Alphabet City,163,Midtown North,4.517,4.565,4.617,11.1,13.9,9.2
4,Alphabet City,164,Midtown South,2.842,3.451,3.471,8.3,10.4,6.9
4,Alphabet City,166,Morningside Heights,9.604,10.806,10.7,25.7,32.1,21.4
4,Alphabet City,170,Murray Hill,2.668,2.793,2.822,6.8,8.5,5.6
4,Alphabet City,186,Penn Station/Madison Sq West,3.043,4.062,4.07,9.8,12.2,8.1
4,Alphabet City,194,Randalls Island,8.679,11.916,11.849,28.4,35.5,23.7
