origen_id,4,12,13,24,41,42,43,45,48,50,68,74,75,79,87,88,90,100,103,107,113,114,116,120,125,127,128,137,140,141,142,143,144,148,151,152,153,158,161,162,163,164,166,170,186,194,202,209,211,224,229,230,231,232,233,234,236,237,238,239,243,244,246,249,261,262,263
4,0.0,5.59,4.625,9.659,11.127,13.567,7.489,3.054,5.368,6.26,4.69,11.961,10.008,1.192,4.476,5.2,3.757,4.308,9.569,2.053,2.453,2.244,13.88,17.62,2.876,20.699,20.968,1.892,6.522,6.268,5.925,6.703,2.014,1.718,8.985,12.43,22.556,3.974,3.867,4.048,4.565,3.451,10.806,2.793,4.062,11.916,6.531,3.899,2.103,0.927,4.665,4.618,3.291,1.516,3.459,2.988,7.988,5.943,7.876,6.825,18.554,16.117,5.58,3.404,4.687,8.381,8.313
12,5.59,0.0,1.053,15.249,16.717,19.157,13.079,2.536,8.769,8.762,6.378,17.551,15.598,5.257,1.114,0.39,5.946,7.889,3.979,6.439,5.096,4.364,19.47,23.211,3.278,26.289,26.559,7.483,12.112,11.858,10.739,10.478,3.577,3.872,14.575,18.02,28.146,4.121,9.333,9.638,10.053,7.649,16.396,8.124,7.022,17.506,12.121,1.691,3.517,6.517,10.255,8.979,2.299,4.074,9.049,6.284,13.578,11.533,13.466,12.132,24.144,21.707,6.572,4.589,0.903,13.971,13.903
13,4.625,1.053,0.0,14.283,15.752,18.192,12.114,1.571,7.804,7.796,5.413,16.586,14.633,4.292,1.31,1.351,4.981,6.924,4.945,5.474,4.131,3.399,18.505,22.245,2.312,25.324,25.593,6.517,11.146,10.893,9.774,9.513,2.611,2.906,13.61,17.054,27.181,3.156,8.367,8.673,9.088,6.684,15.43,7.158,6.056,16.541,11.155,1.384,2.551,5.552,9.29,8.014,1.333,3.109,8.083,5.319,12.613,10.568,12.501,11.166,23.179,20.741,5.607,3.624,0.582,13.006,12.938
24,9.659,15.249,14.283,0.0,1.468,3.908,2.17,12.713,6.48,6.487,8.87,2.48,3.005,9.992,14.134,14.859,9.303,7.36,19.228,8.81,10.153,10.885,4.221,7.962,11.971,11.04,11.31,7.766,4.963,4.384,4.51,4.771,11.672,11.377,0.673,2.771,12.897,11.128,5.916,5.611,5.196,7.599,1.147,7.125,8.227,4.693,5.768,13.557,11.732,8.732,5.05,6.27,12.95,11.175,6.2,8.964,3.11,3.716,1.783,3.117,8.895,6.458,8.677,10.659,14.345,4.503,3.806
41,11.127,16.717,15.752,1.468,0.0,2.44,3.638,14.181,7.948,7.955,10.339,1.537,2.061,11.46,15.603,16.327,10.771,8.828,20.696,10.278,11.621,12.353,2.753,6.493,13.439,9.572,9.841,9.235,4.605,4.859,5.978,6.239,13.141,12.845,2.142,1.726,11.429,12.596,7.384,7.079,6.664,9.068,1.459,8.593,9.695,3.749,4.824,15.026,13.2,10.2,6.462,7.738,14.418,12.643,7.668,10.433,3.139,5.184,3.251,4.585,7.427,4.99,10.145,12.128,15.814,3.559,2.862
42,13.567,19.157,18.192,3.908,2.44,0.0,6.078,16.621,10.388,10.395,12.779,2.188,3.559,13.9,18.042,18.767,13.211,11.268,23.136,12.718,14.061,14.793,1.631,4.054,15.879,7.132,7.402,11.674,7.045,7.299,8.418,8.679,15.58,15.285,4.582,1.137,8.989,15.036,9.824,9.519,9.104,11.508,2.761,11.033,12.135,4.4,7.036,17.465,15.64,12.64,8.902,10.178,16.858,15.083,10.108,12.872,5.579,7.624,5.691,7.025,4.987,2.656,12.585,14.567,18.254,5.186,5.254
43,7.489,13.079,12.114,2.17,3.638,6.078,0.0,10.543,4.31,4.317,6.701,4.472,2.519,7.822,11.964,12.689,7.133,5.19,17.058,6.64,7.983,8.715,6.391,10.132,9.801,13.21,13.48,5.596,2.806,2.227,2.34,2.601,9.502,9.207,1.941,4.941,15.067,8.958,3.746,3.441,3.026,5.43,3.317,4.955,6.057,4.427,3.61,11.387,9.562,6.562,2.893,4.1,10.78,9.005,4.03,6.794,0.953,1.546,1.661,1.276,11.065,8.628,6.507,8.489,12.176,2.345,1.648
45,3.054,2.536,1.571,12.713,14.181,16.621,10.543,0.0,6.233,6.226,4.143,15.015,13.062,2.721,1.422,2.146,3.41,5.353,6.515,3.903,2.56,1.828,16.934,20.675,2.329,23.753,24.023,4.947,9.576,9.322,8.203,7.942,1.04,1.336,12.039,15.484,25.61,3.427,6.797,7.102,7.517,5.113,13.86,5.588,4.486,14.97,9.585,0.845,1.556,3.981,7.719,6.443,1.417,1.538,6.513,3.748,11.042,8.997,10.93,9.596,21.608,19.171,5.033,2.856,1.633,11.435,11.367
48,5.368,8.769,7.804,6.48,7.948,10.388,4.31,6.233,0.0,0.892,2.391,8.782,6.829,4.176,7.655,8.379,2.823,1.06,12.748,3.315,3.673,4.405,10.701,14.441,5.491,17.52,17.789,3.556,3.343,3.089,1.97,1.709,5.193,4.897,5.806,9.25,19.377,4.648,1.501,2.104,1.284,1.917,7.627,2.575,1.747,8.737,3.43,7.078,5.252,4.504,2.713,0.75,6.47,5.854,3.019,2.485,4.809,2.764,4.697,3.363,15.375,12.937,2.197,4.18,7.866,5.202,5.134
