tipo_dia_fino,PUlocationID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
DOMINGO,4.0,0.0,1.0,0.0,1.0,1.0,1.25,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.5,1.2857142857142858,1.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.5,1.25,1.0,1.5,0.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.25,0.0,1.3333333333333333,1.0,1.0,1.0,1.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
DOMINGO,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOMINGO,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.25,1.0,1.6,1.0,1.0,2.0,1.0,1.0,1.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,2.0,1.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
DOMINGO,24.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.3333333333333333,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
DOMINGO,41.0,1.0,1.0,1.0,1.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.2,1.0,1.25,1.3333333333333333,1.8571428571428572,1.25,1.5,1.2,1.0,1.0,1.2,1.8333333333333333,2.0,1.1666666666666667,1.2857142857142858,1.5,1.5,1.1666666666666667,1.2857142857142858,2.0,1.6,1.0,1.25,1.6666666666666667,1.0,1.75,1.25,1.2,1.0,1.25,1.0,1.0,1.5,1.0,1.25,1.0,1.25,1.0,1.0,1.0,1.25,1.2,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
DOMINGO,42.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.5,2.0,1.0,0.0,0.0,1.0,1.0,1.3333333333333333,1.2,1.8333333333333333,2.2,2.2222222222222223,1.8571428571428572,1.8888888888888888,2.0,2.2,1.2,1.3333333333333333,1.25,1.0,1.375,2.625,1.8333333333333333,2.5,1.5714285714285714,1.5,1.25,1.6666666666666667,1.6666666666666667,1.4,1.0,1.0,1.3333333333333333,1.3333333333333333,1.5,1.3333333333333333,1.3333333333333333,1.0,1.0,1.0,1.0,1.5,1.6666666666666667,1.0,1.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.5,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.3333333333333333,0.0,1.0,1.5,1.0,0.0,0.0,0.0,1.0
DOMINGO,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.5,0.0,0.0,1.25,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOMINGO,45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.3333333333333333,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.25,1.0,1.1666666666666667,1.2,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.5,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.3333333333333333,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DOMINGO,48.0,1.0,1.0,1.5,0.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.3333333333333333,1.0,1.0,1.0,1.3333333333333333,1.5,1.0,1.0,1.6,1.0,1.3333333333333333,1.0,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.25,0.0,1.0,0.0,1.4,1.25,1.0,1.5,1.25,1.0,1.6666666666666667,1.0,1.0,1.25,1.4,1.5,1.2,1.25,1.0,1.5,1.0,1.75,1.25,1.3333333333333333,1.5,0.0,1.0,1.0,2.0,1.25,1.5,1.0,1.2,1.0,1.0,1.0,0.0,0.0,1.0,0.0
DOMINGO,50.0,1.0,1.0,1.0,1.0,1.0,1.3333333333333333,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.4,1.6666666666666667,1.375,1.6,1.5,1.0,1.25,1.0,1.4,1.0,1.0,1.25,1.2,1.0,1.0,1.25,1.0,2.5,1.3333333333333333,1.0,1.0,1.5,1.2,1.0,1.0,1.25,1.0,1.25,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.25,1.25,1.0,1.0,1.2,1.0,1.0,1.5,1.0,1.1666666666666667,1.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
DOMINGO,68.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,2.25,1.0,1.3333333333333333,1.25,1.2,1.0,2.0,1.0,1.0,1.5,1.25,1.3333333333333333,1.5,1.2,1.0,1.0,1.25,1.0,1.2,2.6666666666666665,1.0,1.0,1.0,1.5,2.0,1.0,1.5,1.5,2.0,1.4,1.3333333333333333,1.4,1.75,1.1666666666666667,1.2,2.0,1.6666666666666667,1.0,1.0,1.6666666666666667,1.0,1.5,1.5,1.0,1.5,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.5,1.0,0.0,1.0
DOMINGO,74.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.3333333333333333,1.0,1.0,1.0,1.3333333333333333,1.5555555555555556,1.6,1.7142857142857142,1.6,1.5,1.3333333333333333,1.3333333333333333,1.0,1.0,2.0,1.5,1.625,1.5,1.5,1.0,1.6,1.4,1.0,1.0,1.2,1.2,1.0,1.5,1.25,1.25,2.0,1.0,1.0,2.0,1.3333333333333333,1.0,2.0,1.75,1.0,1.5,1.5,2.0,1.0,1.2,1.5,1.3333333333333333,1.0,1.2,1.0,1.0,1.3333333333333333,1.0,1.0,1.0,1.25,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DOMINGO,75.0,0.0,1.0,0.0,1.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.3333333333333333,1.25,2.1666666666666665,1.4,1.75,1.7142857142857142,1.3333333333333333,1.1666666666666667,1.2,1.25,1.1666666666666667,1.0,1.25,1.0,1.0,1.0,1.5,1.0,1.25,1.5,1.3333333333333333,1.25,1.5,1.6666666666666667,1.0,1.0,1.0,1.0,1.0,1.4,1.25,1.0,1.3333333333333333,1.1666666666666667,1.0,1.0,1.75,1.3333333333333333,2.0,1.5,1.0,1.0,1.2,1.0,1.0,1.5,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
DOMINGO,79.0,1.3333333333333333,1.5,1.5,1.25,1.2,2.25,1.2857142857142858,1.2,1.5,1.0,1.0,1.3333333333333333,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.5,1.6666666666666667,1.0,1.3333333333333333,1.2,2.2,1.0,1.3333333333333333,1.0,2.0,1.0,1.5,2.0,1.8,1.0,1.6666666666666667,1.25,1.0,1.0,2.0,1.0,1.5,1.8,1.0,1.2,1.5,1.4,1.0,1.0,1.3333333333333333,1.2,1.3333333333333333,1.6,2.0,1.0,1.5,1.3333333333333333,1.25,1.0,1.5,1.3333333333333333,1.0,1.5,1.0,1.0,1.0,1.0,2.0,1.5,0.0,1.0,1.0
